#STIG ID,Legacy Group ID,Legacy Rule ID,Old Rule ID,New Group ID,New Rule ID
WN19-AU-000050,V-93193,SV-103281,SV-103281r1_rule,V-205642,SV-205642r569188_rule
WN19-AU-000060,V-93195,SV-103283,SV-103283r1_rule,V-205731,SV-205731r569188_rule
WN19-AU-000070,V-93153,SV-103241,SV-103241r1_rule,V-205832,SV-205832r569188_rule
WN19-AU-000080,V-93155,SV-103243,SV-103243r1_rule,V-205833,SV-205833r569188_rule
WN19-AU-000090,V-93089,SV-103177,SV-103177r1_rule,V-205769,SV-205769r569188_rule
WN19-AU-000100,V-92979,SV-103067,SV-103067r1_rule,V-205625,SV-205625r569188_rule
WN19-AU-000110,V-92981,SV-103069,SV-103069r1_rule,V-205626,SV-205626r569188_rule
WN19-AU-000120,V-92983,SV-103071,SV-103071r1_rule,V-205627,SV-205627r569188_rule
WN19-AU-000130,V-93157,SV-103245,SV-103245r1_rule,V-205839,SV-205839r569188_rule
WN19-AU-000140,V-93091,SV-103179,SV-103179r1_rule,V-205770,SV-205770r569188_rule
WN19-AU-000150,V-92987,SV-103075,SV-103075r1_rule,V-205729,SV-205729r569188_rule
WN19-AU-000160,V-92989,SV-103077,SV-103077r1_rule,V-205730,SV-205730r569188_rule
WN19-AU-000170,V-93159,SV-103247,SV-103247r1_rule,V-205834,SV-205834r569188_rule
WN19-AU-000180,V-93171,SV-103259,SV-103259r1_rule,V-205838,SV-205838r569188_rule
WN19-AU-000190,V-92967,SV-103055,SV-103055r1_rule,V-205634,SV-205634r569188_rule
WN19-AU-000200,V-92969,SV-103057,SV-103057r1_rule,V-205635,SV-205635r569188_rule
WN19-AU-000210,V-93161,SV-103249,SV-103249r1_rule,V-205835,SV-205835r569188_rule
WN19-AU-000220,V-93163,SV-103251,SV-103251r1_rule,V-205836,SV-205836r569188_rule
WN19-AU-000230,V-93165,SV-103253,SV-103253r1_rule,V-205837,SV-205837r569188_rule
WN19-AU-000240,V-93167,SV-103255,SV-103255r1_rule,V-205840,SV-205840r569188_rule
WN19-AU-000250,V-93169,SV-103257,SV-103257r1_rule,V-205841,SV-205841r569188_rule
WN19-AU-000260,V-93093,SV-103181,SV-103181r1_rule,V-205771,SV-205771r569188_rule
WN19-AU-000270,V-93095,SV-103183,SV-103183r1_rule,V-205772,SV-205772r569188_rule
WN19-AU-000280,V-93097,SV-103185,SV-103185r1_rule,V-205773,SV-205773r569188_rule
WN19-AU-000290,V-93099,SV-103187,SV-103187r1_rule,V-205774,SV-205774r569188_rule
WN19-AU-000300,V-93101,SV-103189,SV-103189r1_rule,V-205775,SV-205775r569188_rule
WN19-AU-000310,V-93103,SV-103191,SV-103191r1_rule,V-205776,SV-205776r569188_rule
WN19-AU-000320,V-93105,SV-103193,SV-103193r1_rule,V-205777,SV-205777r569188_rule
WN19-AU-000330,V-93107,SV-103195,SV-103195r1_rule,V-205778,SV-205778r569188_rule
WN19-AU-000340,V-93109,SV-103197,SV-103197r1_rule,V-205779,SV-205779r569188_rule
WN19-AU-000350,V-93111,SV-103199,SV-103199r1_rule,V-205780,SV-205780r569188_rule
WN19-AU-000360,V-93113,SV-103201,SV-103201r1_rule,V-205781,SV-205781r569188_rule
WN19-AU-000370,V-93115,SV-103203,SV-103203r1_rule,V-205782,SV-205782r569188_rule
WN19-AU-000380,V-93117,SV-103205,SV-103205r1_rule,V-205783,SV-205783r569188_rule
WN19-AU-000390,V-93119,SV-103207,SV-103207r1_rule,V-205784,SV-205784r569188_rule
WN19-CC-000010,V-93399,SV-103485,SV-103485r1_rule,V-205686,SV-205686r569188_rule
WN19-CC-000020,V-93401,SV-103487,SV-103487r1_rule,V-205687,SV-205687r569188_rule
WN19-CC-000030,V-93233,SV-103321,SV-103321r1_rule,V-205858,SV-205858r569188_rule
