#STIG ID,Legacy Group ID,Legacy Rule ID,Old Rule ID,New Group ID,New Rule ID
WN19-DC-000160,V-93509,SV-103595,SV-103595r1_rule,V-205726,SV-205726r569188_rule
WN19-DC-000170,V-93121,SV-103209,SV-103209r1_rule,V-205785,SV-205785r569188_rule
WN19-DC-000180,V-93123,SV-103211,SV-103211r1_rule,V-205786,SV-205786r569188_rule
WN19-DC-000190,V-93125,SV-103213,SV-103213r1_rule,V-205787,SV-205787r569188_rule
WN19-DC-000200,V-93127,SV-103215,SV-103215r1_rule,V-205788,SV-205788r569188_rule
WN19-DC-000210,V-93129,SV-103217,SV-103217r1_rule,V-205789,SV-205789r569188_rule
WN19-DC-000220,V-93131,SV-103219,SV-103219r1_rule,V-205790,SV-205790r569188_rule
WN19-DC-000230,V-92985,SV-103073,SV-103073r1_rule,V-205628,SV-205628r569188_rule
WN19-DC-000240,V-93133,SV-103221,SV-103221r1_rule,V-205791,SV-205791r569188_rule
WN19-DC-000250,V-93135,SV-103223,SV-103223r1_rule,V-205792,SV-205792r569188_rule
WN19-DC-000260,V-93137,SV-103225,SV-103225r1_rule,V-205793,SV-205793r569188_rule
WN19-DC-000270,V-93139,SV-103227,SV-103227r1_rule,V-205794,SV-205794r569188_rule
WN19-DC-000280,V-93481,SV-103567,SV-103567r1_rule,V-205645,SV-205645r569188_rule
WN19-DC-000290,V-93483,SV-103569,SV-103569r1_rule,V-205646,SV-205646r569188_rule
WN19-DC-000300,V-93485,SV-103571,SV-103571r1_rule,V-205647,SV-205647r569188_rule
WN19-DC-000310,V-93441,SV-103527,SV-103527r1_rule,V-205701,SV-205701r569188_rule
WN19-DC-000320,V-93545,SV-103631,SV-103631r1_rule,V-205820,SV-205820r569188_rule
WN19-DC-000330,V-93273,SV-103361,SV-103361r1_rule,V-205876,SV-205876r569188_rule
WN19-DC-000340,V-92995,SV-103083,SV-103083r1_rule,V-205665,SV-205665r569188_rule
WN19-DC-000350,V-93039,SV-103127,SV-103127r1_rule,V-205744,SV-205744r569188_rule
WN19-DC-000360,V-92997,SV-103085,SV-103085r1_rule,V-205666,SV-205666r569188_rule
WN19-DC-000370,V-92999,SV-103087,SV-103087r1_rule,V-205667,SV-205667r569188_rule
WN19-DC-000380,V-93001,SV-103089,SV-103089r1_rule,V-205668,SV-205668r569188_rule
WN19-DC-000390,V-93003,SV-103091,SV-103091r1_rule,V-205669,SV-205669r569188_rule
WN19-DC-000400,V-93005,SV-103093,SV-103093r1_rule,V-205670,SV-205670r569188_rule
WN19-DC-000410,V-92963,SV-103051,SV-103051r1_rule,V-205732,SV-205732r569188_rule
WN19-DC-000420,V-93041,SV-103129,SV-103129r1_rule,V-205745,SV-205745r569188_rule
